Name,Description,Category
TransLens,You would have never thought what your camera or your mobile lens is capable of and after seeing this app you will realise it :),Tourism
Travel Companion,"A complete app for travellers with features like public transportation route generation, local language translater, air routes, taxi support,etc ",Tourism
Travel Journal,"App gives you the hotels location, price, rating and the tourism destinations, rating with their detailed descriptions ",Tourism
Travel Junc,"An app where you can create your travel profile with your experiences with people/places/culture,make friends and bring forward rare new destinations",Tourism
Travel Nepaluslyusl,"Travel Nepal is an app which helps people from all around the world to get all information about tourism,resturant,hotels available in Nepal",Tourism
Travel Pal,Plan where you want to go and what you want to do in accordance to your budget,Tourism
TravelBuddy,A mobile app that helps solve the difficulties of driving and helps ensurse safety on the roads by keeping rules and regulations in check,Utilities
TreK Nepal,"This application allows user to choose tour package, hotels in accordance with their budgets comparing current price and book",Tourism
Trekkers Nepal,Trekking interest made more convenient with a mobile app that can provide users with a detailed information about trekking and facilities,Tourism
TUNGO,"App to remotely control certain emergency features (alarm, contacts, flash, profile etc) of one phone from another phone using SMS control system",Utilities
TV Program Reminder,Free SMS or Android calendar integrated reminder for your favorite TV programs,Gaming
TVtube,TVtube will provide update on all the happenings and stories of daily soaps and other entertainment sources,Gaming
UnBored,"UnBored is an AI app, whose single tap suggests you the best possible thing you can do, knows your context too and learns itself",Utilities
Unit,Unit app facilitate users to book hotel rooms anytime and anywhere throughout the count,Tourism
Unity in Diversity,"This is World War type Game where Nepalese people of different caste, culture, religion unites together to protect our country Nepal ",Gaming
Up,"Up is a Single player game, in which the player has to clear the path by rotating the discs with a groove lurking around the trajectory of a balloon",Gaming
Upasarga,Our main idea is to solve health related problems of people through viber like application (ie through voice command),Health
Username-password Wallet,"For removing confusion of user, for a given site which username and password did he used to logi",Utilities
Utilities Nepal,An app that uses timer for the texting or mailing If I have to text someone Happy Birthday at 00:00 I dont have to wake up at midnight,Utilities
UVoice,Your own voice mail solution,Utilities
Vcard,Offline exchange of digital visiting cards (Vcard) with features to store exchanged visiting cards in our Vcard-holder in categorical manner,Utilities
Vehicle For Me,Users can find the nearest local transportation to get to a destination and their route,Utilities
Venture++,Our app is a one-stop solutions and tips provider for startup ventures and aspiring entrepreneurs along with in-app user networking,Utilities
Verloren,"A game based on the story of a child who loses his consciousness after the earthquake, and on waking up, goes on a quest to find his parents",Gaming
Victorious,An app that allows user to read stories in the form of text message/chat,Gaming
VidFedd,VidFedd is a common application for all of video sharing and streaming sites where you can comment and share each frame of,Utilities
Viewourist,,Tourism
Virtual Stock Market,"App to buy/sell stocks virtually and, learn the fundamental terms to evaluate stocks and process of buying/selling stocks in Nepal",Utilities
Visit Nepal,The app encourages/attract tourists to visit nepal and help them to find their tourist guide in Nepal,Tourism
Visit Nepal,"Digital Platform to easily Connect Tourist & Agencies, local people Motivate Tourist to visit and get affordable tour package at best price",Tourism
VisitMee,cheapest way to travel,Tourism
Visit_nepal,Tourist destination Nepal:Promote Nepal as destination of tourist,Tourism
VOTE,"This application is used to vote in the government constitution election,help in gathering survey report",Utilities
Vukampa,A game where a character run for his life while having a major earthquake attack,Gaming
Wallet Doctor,A budget management app to assist you in the same old Income vs Expenditure problem,Utilities
Wallpaper,Photos relating to Nepal in Wallpaper as a promotion to Nepalese Tourism,Tourism
Wander Nepal,"Offline based map and shows all pictured and written info upon click on tagged point of tourism place all over Nepal and include food, lodge so on",Tourism
we can,solving language barriers,Tourism
We Care,App to care about ourselves and bring us closer to the hospital and doctors,Health
Welcome Nepal,"Our app will help tourist in every possible way, from finding a proper accmodation to language translator to helping as a virtual tourist guide",Tourism
Welcome-Nepal,"App provides all speciality of Nepal(places,festivals,food etc) and helps for planing according to users choice informing every facilities",Tourism
Whats That?,Just point your phone to any natural and cultural heritages of Nepal to get all the necessary info about it (Offline),Tourism
Whats My Token No,App that takes the token for you and reserve the seat,Utilities
Whiplash,A fast-paced gesture based retro multiplayer game where players try to whip gems out of each other,Gaming
white sparrow, This app help tourists by finding people of their nationalities in foreign countries,Tourism
white sparrow,"This app provides instant public review of the things users want to buy or know about, just by taking picture of the product from their mobile phone",Utilities
white sparrow,This app is for groups of guys and girls who want to meet up with groups of opposite sex to party on a night out or enjoy new places together,Gaming
Wingman,Wingman provides information and details of prominent individuals in any particular event by clicking their picture!,Utilities
Wonderful_Life,"this is an app that helps people find rooms easily where users put in their identity,type of room they want,location etc and other users offer rooms",Utilities
Workshop,Lets Build,Gaming
WRC robo/Disaster alert system,"The app will provide awareness about disaster, notify the user about current disaster (like flood, earthquake, landslide) with location based services",Utilities
X Rocks,"Emergency request for any group of blood to the facebook friends, contact number person(SMS), GPS system for nearby area(around 2 KM in radius)",Health
Xpereance,The app  recreates the best possible experience for tourist of visiting a new place as reffered to them by  friends or visitors,Tourism
Yaatraa,App to know how to safe during Travel and it connect you to near hospital and police,Tourism
Yatayat Nepal,"In our app, you can get the location of running buses, their approx distance and duration of arrival so that you can get ready to get the bus",Utilities
Yatra,This app is used to show various routes public transportation takes and their stations which helps users to find which one is suitable for them,Utilities
YATRI,"Assist students in their visa application process and notification service of different events like seminar, competition, exhibition around the world",Utilities
yog-guru,yog-guru is an app that teaches the basics of yoga to the users,Health
Younger people team,To calculate monthly finance of home and  to shop online with different savings and discount it should have all online shopping sites of Nepal,Utilities
your cute helper,Messages close people about brthday aniversary festival acoording to relationship,Utilities
YOUTO,"Conferences, Scholarships, Job Vacancies, Exchange Program, Competitions and Opportunities all at one alert ",Utilities
yuvraj team,App to calculate monthly finance and to do online shopping  which has a collection of shopping sites with discount,Utilities
yuvraj team,App to sing and tune a song,Gaming
Zenith,,Tourism
आउ घुम्न जाऔं,An android app which displays all the best travelling places all over Nepal,Tourism
एक्का बास्सा,An addicting card game (all in one) that allows you to select a number of different nepali card games and enjoy both single and multiplayer,Gaming
कानुनी  सेवा,It gives whole information about our newely updated constitution and justification along with contact method for ligal services,Utilities
कारोबार,This app keeps the financial records effectively and efficiently,Utilities
घरेलु उपचार,App to create a one-stop solution for traditional home remedies for various illness and promote Nepali crude drugs and Ayurveda medicines,Health
जलपरी,"जलपरी is a game where a girl runs to save the environment, teaching children healthy habits & ways solve  environmental problem",Gaming
झारफुक,"In the absence of doctor,medicinal plants to meet primary health care needs  ",Health
नेपाली मा कुरा गरौ(A mobile application to speak in Nepali),A mobile application that will speak in Nepali,Tourism
पहुँच,स्थानीय निकाय र तिनिहरुले प्रदान गर्ने सेवाहरुमा जनताको सहज विधुतीय पहुँच,Utilities
ब्यवस्थित नेपाल,to give information about tourism and how it can be used in development of our village/town (hence benefit for nepal and nepali people),Tourism
मेरो  ठाउँ   घुम्न  आउ,This app is basically the concept of letting other people visit your place and vice versa in a more interactive and visual way,Tourism
वाचक,App that reads aloud Nepali texts (Devanagari script) obtained from any source,Utilities
सहायक,Your personal assistant/helper/service provider for every real world issues,Utilities
साईकल साथि,Establishg nepal as cyling (adventure) destination,Tourism
